race_number,race_name,race_location,race_slug,race_year
1,VI CARRERA POPULAR DE LA GUITARRA ESPAÑOLA - CASASIMARRO,Casasimarro,casasimarro,2022
2,XIII 10K LA PITA - EL HERRUMBLAR 2022,El Herrumblar,el-herrumblar,2022
3,XIV CARRERA POPULAR SUBIDA A LOS MOLINOS,Mota del Cuervo,mota-del-cuervo,2022
4,XX CARRERA POPULAR VILLA DE VILLAMAYOR DE SANTIAGO,Villamayor de Santiago,villamayor-de-santiago,2022
5,XVII CARRERA POPULAR DE SAN LORENZO DE LA PARRILLA,San Lorenzo de la Parrilla,san-lorenzo-de-la-parrilla,2022
6,"IX CARRERA POPULAR VILLARTA, PUEBLO DE VINOS",Villarta,villarta,2022
7,CARRERA POPULAR LA FUENTE 2022,Fuente del Pedro Naharro,fuente-del-pedro-naharro,2022
8,XXXVIII CARRERA POPULAR EL CAÑO - 2023,Tarancón,tarancon,2022
9,VI CARRERA POPULAR TIERRA DEL VÍTOR - HORCAJO,Horcajo de Santiago,horcajo-de-santiago,2022
10,VI SUBIDA AL CASTILLO DE BELMONTE 2022,Belmonte,belmonte,2022
11,CARRERA NOCTURNA 10K VILLA DE SAN CLEMENTE 2022,San Clemente,san-clemente,2022
12,XIII CARRERA POPULAR VILLA DE QUINTANAR DEL REY,Quintanar del Rey,quintanar-del-rey,2022
13,XVII CARRERA POPULAR DE UÑA 2022,Uña,una,2022
14,XVII CARRERA POPULAR VILLA DE MINGLANILLA,Minglanilla,minglanilla,2022
15,XV CARRERA POPULAR VILLA DE LA JARA,Villanueva de la Jara,villanueva-de-la-jara,2022
16,II CARRERA BALCÓN DE LA ALCARRIA (SUSPENDIDA),Castejón,castejon,2022
17,47 CARRERA POPULAR DE CARDENETE 2022,Cardenete,cardenete,2022
18,XXXVIII CARRERA POPULAR VILLA DE INIESTA,Iniesta,iniesta,2022
19,XVIII TROFEO SAN GIL - MOTILLA,Motilla del Palancar,motilla-del-palancar,2022
20,XXI CARRERA POPULAR VILLA DE HONRUBIA 2022,Honrubia,honrubia,2022
21,XVII CARRERA POPULAR SANTA EULALIA - VILLARES 2022,Villares Del Saz,villares-del-saz,2022
22,10 MILLAS EL PICAZO,El Picazo,el-picazo,2022
23,I MARCHA P. LA JOYA BARROCA SISANTE 2022,Sisante,sisante,2022
24,IX CP PINOS DE ABDÓN - OLMEDILLA DE ALARCÓN 2022,Olmedilla de Alarcón,olmedilla-de-alarcon,2022
25,I CARRERA POPULAR VILLA DE EL PERAL - 2022,El Peral,el-peral,2022
26,10 K DE CUENCA - 2022,Cuenca (10k + 21k),cuenca,2022
26,MEDIA MARATON DE CUENCA - 2022,Cuenca (10k + 21k),cuenca,2022
1,VII C.P. DE LA GUITARRA ESPAÑOLA - 2023,Casasimarro,casasimarro,2023
